event_id,phase,component,group,used,sign,shift_samples,shift_s,cc,misfit,window_start_s,window_end_s
S1094b,P,Z,Z,Z,-,40,2.0,0.8683576435262542,0.13164235647374578,-5.0,5.0
S1094b,S,R,R,R,-,-84,-4.2,0.5957272854585762,0.40427271454142377,-5.0,10.0
S0185a,P,Z,Z,Z,+,61,3.0500000000000003,0.15054801382637856,0.8494519861736214,-5.0,5.0
S0185a,S,R,R,R,+,63,3.1500000000000004,0.6226677202786816,0.37733227972131844,-5.0,10.0
S0234c,P,Z,Z,Z,+,-5,-0.25,0.5235530711087621,0.47644692889123785,-5.0,5.0
S0234c,S,R,R,R,+,-22,-1.1,0.4079695080790859,0.5920304919209141,-5.0,10.0
S0167b,P,Z,Z,Z,+,14,0.7000000000000001,0.35014814599936295,0.649851854000637,-5.0,5.0
S0167b,S,T,T,T,+,99,4.95,0.37586722932807165,0.6241327706719284,-5.0,10.0
S1102a,P,Z,Z,Z,+,31,1.55,0.323945740174202,0.6760542598257979,-5.0,5.0
S1102a,S,R,R,R,-,-92,-4.6000000000000005,0.5024764464073211,0.49752355359267886,-5.0,10.0
S1153a,P,Z,Z,Z,-,20,1.0,0.5786697143689247,0.42133028563107533,-5.0,5.0
S1153a,S,R,R,R,+,22,1.1,0.8309921045906489,0.16900789540935113,-5.0,10.0
S1415a,P,Z,Z,Z,-,-5,-0.25,0.2038449507728493,0.7961550492271507,-5.0,5.0
S1415a,S,T,T,T,-,-94,-4.7,0.39223574832644176,0.6077642516735582,-5.0,10.0
S0133a,P,Z,Z,Z,+,41,2.0500000000000003,0.5960530818084107,0.40394691819158934,-5.0,5.0
S0133a,S,R,R,R,+,-79,-3.95,0.3144618073543576,0.6855381926456424,-5.0,10.0
S0254b,P,Z,Z,Z,-,85,4.25,0.6548109274153632,0.3451890725846368,-5.0,5.0
S0254b,S,R,R,R,+,2,0.1,0.37298400268547505,0.627015997314525,-5.0,10.0
S0395a,P,Z,Z,Z,-,58,2.9000000000000004,0.34685092136369333,0.6531490786363067,-5.0,5.0
S0395a,S,R,R,R,-,-68,-3.4000000000000004,0.45333697743066315,0.5466630225693369,-5.0,10.0
S0345a,P,Z,Z,Z,-,-18,-0.9,0.6276401275375061,0.3723598724624939,-5.0,5.0
S0345a,S,R,R,R,-,89,4.45,0.3635804395095924,0.6364195604904076,-5.0,10.0
S0421b,P,Z,Z,Z,-,-80,-4.0,0.3247272669157969,0.6752727330842031,-5.0,5.0
S0421b,S,R,R,R,+,-83,-4.15,0.6532277854498199,0.34677221455018015,-5.0,10.0
S0226b,P,Z,Z,Z,-,-74,-3.7,0.2407580136903121,0.7592419863096879,-5.0,5.0
S0226b,S,R,R,R,+,99,4.95,0.909031722911038,0.09096827708896205,-5.0,10.0
S0167a,P,Z,Z,Z,+,-66,-3.3000000000000003,0.46263137730408044,0.5373686226959196,-5.0,5.0
S0167a,S,R,R,R,-,-97,-4.8500000000000005,0.22550397052183963,0.7744960294781604,-5.0,10.0
S0152a,P,Z,Z,Z,-,21,1.05,0.8382691443535899,0.1617308556464101,-5.0,5.0
S0152a,S,T,T,T,-,-91,-4.55,0.6563174544393393,0.3436825455606607,-5.0,10.0
S1000a,P,Z,Z,Z,-,41,2.0500000000000003,0.384554543298341,0.615445456701659,-5.0,5.0
S1000a,S,T,T,T,-,59,2.95,0.597652080255897,0.402347919744103,-5.0,10.0
S0976a,P,Z,Z,Z,+,-11,-0.55,0.5493847030586528,0.45061529694134717,-5.0,5.0
S0976a,S,T,T,T,-,50,2.5,0.8183871256999116,0.18161287430008843,-5.0,10.0
