event_id,phase,official_group,official_used,plotted_component,window_type,sign,shift_samples,shift_s,official_cc,plotted_group_cc,official_misfit,plotted_group_misfit,abs_difference,match_official,window_start_s,window_end_s,component_mode,best_model_id,npz_time_key,npz_observed_key,npz_synthetic_before_shift_key,npz_synthetic_aligned_key
S1094b,P,Z,Z,Z,pick-based,-,40,2.0,0.8683576435262542,0.8683576435262542,0.13164235647374578,0.13164235647374578,0.0,True,-5.0,5.0,paper,Geophysical_model298,S1094b_P_time_s,S1094b_P_observed_norm,S1094b_P_synthetic_before_shift_norm,S1094b_P_synthetic_aligned_norm
S1094b,S,R,R,R,pick-based,-,-84,-4.2,0.5957272854585762,0.5957272854585762,0.40427271454142377,0.40427271454142377,0.0,True,-5.0,10.0,paper,Geophysical_model298,S1094b_S_time_s,S1094b_S_observed_norm,S1094b_S_synthetic_before_shift_norm,S1094b_S_synthetic_aligned_norm
S0185a,P,Z,Z,Z,pick-based,+,61,3.0500000000000003,0.15054801382637856,0.15054801382637856,0.8494519861736214,0.8494519861736214,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0185a_P_time_s,S0185a_P_observed_norm,S0185a_P_synthetic_before_shift_norm,S0185a_P_synthetic_aligned_norm
S0185a,S,R,R,R,pick-based,+,63,3.1500000000000004,0.6226677202786816,0.6226677202786816,0.37733227972131844,0.37733227972131844,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0185a_S_time_s,S0185a_S_observed_norm,S0185a_S_synthetic_before_shift_norm,S0185a_S_synthetic_aligned_norm
S0234c,P,Z,Z,Z,pick-based,+,-5,-0.25,0.5235530711087621,0.5235530711087621,0.47644692889123785,0.47644692889123785,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0234c_P_time_s,S0234c_P_observed_norm,S0234c_P_synthetic_before_shift_norm,S0234c_P_synthetic_aligned_norm
S0234c,S,R,R,R,pick-based,+,-22,-1.1,0.4079695080790859,0.4079695080790859,0.5920304919209141,0.5920304919209141,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0234c_S_time_s,S0234c_S_observed_norm,S0234c_S_synthetic_before_shift_norm,S0234c_S_synthetic_aligned_norm
S0167b,P,Z,Z,Z,pick-based,+,14,0.7000000000000001,0.35014814599936295,0.35014814599936295,0.649851854000637,0.649851854000637,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0167b_P_time_s,S0167b_P_observed_norm,S0167b_P_synthetic_before_shift_norm,S0167b_P_synthetic_aligned_norm
S0167b,S,T,T,T,pick-based,+,99,4.95,0.37586722932807165,0.37586722932807165,0.6241327706719284,0.6241327706719284,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0167b_S_time_s,S0167b_S_observed_norm,S0167b_S_synthetic_before_shift_norm,S0167b_S_synthetic_aligned_norm
S1102a,P,Z,Z,Z,pick-based,+,31,1.55,0.323945740174202,0.323945740174202,0.6760542598257979,0.6760542598257979,0.0,True,-5.0,5.0,paper,Geophysical_model298,S1102a_P_time_s,S1102a_P_observed_norm,S1102a_P_synthetic_before_shift_norm,S1102a_P_synthetic_aligned_norm
S1102a,S,R,R,R,pick-based,-,-92,-4.6000000000000005,0.5024764464073211,0.5024764464073211,0.49752355359267886,0.49752355359267886,0.0,True,-5.0,10.0,paper,Geophysical_model298,S1102a_S_time_s,S1102a_S_observed_norm,S1102a_S_synthetic_before_shift_norm,S1102a_S_synthetic_aligned_norm
S1153a,P,Z,Z,Z,pick-based,-,20,1.0,0.5786697143689247,0.5786697143689247,0.42133028563107533,0.42133028563107533,0.0,True,-5.0,5.0,paper,Geophysical_model298,S1153a_P_time_s,S1153a_P_observed_norm,S1153a_P_synthetic_before_shift_norm,S1153a_P_synthetic_aligned_norm
S1153a,S,R,R,R,pick-based,+,22,1.1,0.8309921045906489,0.8309921045906489,0.16900789540935113,0.16900789540935113,0.0,True,-5.0,10.0,paper,Geophysical_model298,S1153a_S_time_s,S1153a_S_observed_norm,S1153a_S_synthetic_before_shift_norm,S1153a_S_synthetic_aligned_norm
S1415a,P,Z,Z,Z,pick-based,-,-5,-0.25,0.2038449507728493,0.2038449507728493,0.7961550492271507,0.7961550492271507,0.0,True,-5.0,5.0,paper,Geophysical_model298,S1415a_P_time_s,S1415a_P_observed_norm,S1415a_P_synthetic_before_shift_norm,S1415a_P_synthetic_aligned_norm
S1415a,S,T,T,T,pick-based,-,-94,-4.7,0.39223574832644176,0.39223574832644176,0.6077642516735582,0.6077642516735582,0.0,True,-5.0,10.0,paper,Geophysical_model298,S1415a_S_time_s,S1415a_S_observed_norm,S1415a_S_synthetic_before_shift_norm,S1415a_S_synthetic_aligned_norm
S0133a,P,Z,Z,Z,pick-based,+,41,2.0500000000000003,0.5960530818084107,0.5960530818084107,0.40394691819158934,0.40394691819158934,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0133a_P_time_s,S0133a_P_observed_norm,S0133a_P_synthetic_before_shift_norm,S0133a_P_synthetic_aligned_norm
S0133a,S,R,R,R,pick-based,+,-79,-3.95,0.3144618073543576,0.3144618073543576,0.6855381926456424,0.6855381926456424,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0133a_S_time_s,S0133a_S_observed_norm,S0133a_S_synthetic_before_shift_norm,S0133a_S_synthetic_aligned_norm
S0254b,P,Z,Z,Z,pick-based,-,85,4.25,0.6548109274153632,0.6548109274153632,0.3451890725846368,0.3451890725846368,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0254b_P_time_s,S0254b_P_observed_norm,S0254b_P_synthetic_before_shift_norm,S0254b_P_synthetic_aligned_norm
S0254b,S,R,R,R,pick-based,+,2,0.1,0.37298400268547505,0.37298400268547505,0.627015997314525,0.627015997314525,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0254b_S_time_s,S0254b_S_observed_norm,S0254b_S_synthetic_before_shift_norm,S0254b_S_synthetic_aligned_norm
S0395a,P,Z,Z,Z,pick-based,-,58,2.9000000000000004,0.34685092136369333,0.34685092136369333,0.6531490786363067,0.6531490786363067,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0395a_P_time_s,S0395a_P_observed_norm,S0395a_P_synthetic_before_shift_norm,S0395a_P_synthetic_aligned_norm
S0395a,S,R,R,R,pick-based,-,-68,-3.4000000000000004,0.45333697743066315,0.45333697743066315,0.5466630225693369,0.5466630225693369,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0395a_S_time_s,S0395a_S_observed_norm,S0395a_S_synthetic_before_shift_norm,S0395a_S_synthetic_aligned_norm
S0345a,P,Z,Z,Z,pick-based,-,-18,-0.9,0.6276401275375061,0.6276401275375061,0.3723598724624939,0.3723598724624939,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0345a_P_time_s,S0345a_P_observed_norm,S0345a_P_synthetic_before_shift_norm,S0345a_P_synthetic_aligned_norm
S0345a,S,R,R,R,pick-based,-,89,4.45,0.3635804395095924,0.3635804395095924,0.6364195604904076,0.6364195604904076,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0345a_S_time_s,S0345a_S_observed_norm,S0345a_S_synthetic_before_shift_norm,S0345a_S_synthetic_aligned_norm
S0421b,P,Z,Z,Z,pick-based,-,-80,-4.0,0.3247272669157969,0.3247272669157969,0.6752727330842031,0.6752727330842031,0.0,True,-5.0,5.0,paper,Geophysical_model298,S0421b_P_time_s,S0421b_P_observed_norm,S0421b_P_synthetic_before_shift_norm,S0421b_P_synthetic_aligned_norm
S0421b,S,R,R,R,pick-based,+,-83,-4.15,0.6532277854498199,0.6532277854498199,0.34677221455018015,0.34677221455018015,0.0,True,-5.0,10.0,paper,Geophysical_model298,S0421b_S_time_s,S0421b_S_observed_norm,S0421b_S_synthetic_before_shift_norm,S0421b_S_synthetic_aligned_norm
