event_id,model_key,model_label,model_id,stage,panel,component,window_type,cc,shift_samples,shift_s,sign,npts
S1094b,X,Model X,X,raw,PZ,Z,pick-based,0.829224949757834,-41,-2.0500000000000003,-,200
S1094b,X,Model X,X,raw,SZ,Z,pick-based,0.3577806288782868,-74,-3.7,-,300
S1094b,X,Model X,X,raw,PR,R,pick-based,0.45948381458304055,100,5.0,+,200
S1094b,X,Model X,X,raw,ST,T,pick-based,0.14615448266930314,-89,-4.45,-,300
S1094b,X,Model X,X,bp_01_05,PZ,Z,pick-based,0.6418337712064723,-24,-1.2000000000000002,+,200
S1094b,X,Model X,X,bp_01_05,SZ,Z,pick-based,0.4162590878742398,6,0.30000000000000004,-,300
S1094b,X,Model X,X,bp_01_05,PR,R,pick-based,0.3818814399036693,15,0.75,-,200
S1094b,X,Model X,X,bp_01_05,ST,T,pick-based,0.14096990134483797,99,4.95,+,300
S1094b,X,Model X,X,bp_01_08,PZ,Z,pick-based,0.8716812542431159,-42,-2.1,-,200
S1094b,X,Model X,X,bp_01_08,SZ,Z,pick-based,0.3321959047658262,-73,-3.6500000000000004,-,300
S1094b,X,Model X,X,bp_01_08,PR,R,pick-based,0.5492717789814235,100,5.0,+,200
S1094b,X,Model X,X,bp_01_08,ST,T,pick-based,0.13237369871032795,75,3.75,-,300
S1094b,X,Model X,X,bp_03_09,PZ,Z,pick-based,0.8355287440932846,-41,-2.0500000000000003,-,200
S1094b,X,Model X,X,bp_03_09,SZ,Z,pick-based,0.42168721456175423,-74,-3.7,-,300
S1094b,X,Model X,X,bp_03_09,PR,R,pick-based,0.5522004106738733,100,5.0,+,200
S1094b,X,Model X,X,bp_03_09,ST,T,pick-based,0.6479476112967693,91,4.55,+,300
S1094b,X,Model X,X,bp_03_09_pol,PZ,Z,pick-based,0.8562404325313762,-41,-2.0500000000000003,-,200
S1094b,X,Model X,X,bp_03_09_pol,SZ,Z,pick-based,0.12172399807503508,15,0.75,+,300
S1094b,X,Model X,X,bp_03_09_pol,PR,R,pick-based,0.443239894732531,90,4.5,-,200
S1094b,X,Model X,X,bp_03_09_pol,ST,T,pick-based,0.6263365340478696,91,4.55,+,300
S1094b,TAYAK,TAYAK,TAYAK,raw,PZ,Z,pick-based,0.36969741797877653,90,4.5,+,200
S1094b,TAYAK,TAYAK,TAYAK,raw,SZ,Z,pick-based,0.3188552366504193,65,3.25,+,300
S1094b,TAYAK,TAYAK,TAYAK,raw,PR,R,pick-based,0.7930094309870531,86,4.3,-,200
S1094b,TAYAK,TAYAK,TAYAK,raw,ST,T,pick-based,0.14290578958734929,100,5.0,-,300
