model_key,stage,mean_cc,median_cc,mean_abs_shift_s,n_panels
Best17,bp_01_05,0.2663292945275773,0.2361227234274777,3.0294117647058827,68
Best17,bp_01_08,0.44336957654945636,0.39482705476002455,2.638235294117647,68
Best17,bp_03_09,0.6865067114103391,0.7169641304371246,2.7132352941176476,68
Best17,bp_03_09_pol,0.6596124504768108,0.7181261615293493,2.6808823529411767,68
Best17,raw,0.448127687910854,0.44736293475578504,2.7316176470588234,68
EventBest,bp_01_05,0.28763538824985596,0.23280239001205102,3.1992647058823533,68
EventBest,bp_01_08,0.45510683467100527,0.42569391427181974,2.8470588235294123,68
EventBest,bp_03_09,0.6768866451705275,0.7174108780096712,2.6705882352941184,68
EventBest,bp_03_09_pol,0.6454152858610441,0.6931743839595508,2.9316176470588244,68
EventBest,raw,0.4886567017140796,0.5302324362451558,2.581617647058824,68
TAYAK,bp_01_05,0.23336128995764568,0.1972736262441797,3.0985294117647055,68
TAYAK,bp_01_08,0.36124732121305936,0.3030991842817432,2.9455882352941183,68
TAYAK,bp_03_09,0.6436308736180076,0.6531147706004727,2.7536764705882355,68
TAYAK,bp_03_09_pol,0.5725951760039263,0.5872121960139414,2.9580882352941176,68
TAYAK,raw,0.37849456182023533,0.35385436347681976,2.9382352941176473,68
X,bp_01_05,0.31886212958477506,0.307929298277113,3.053676470588235,68
X,bp_01_08,0.4465863242391037,0.46308077044879364,3.121323529411765,68
X,bp_03_09,0.6234487507030392,0.6455055556206553,3.1161764705882353,68
X,bp_03_09_pol,0.5974094006946963,0.6154054183979231,2.6595588235294123,68
X,raw,0.47056353694544795,0.4573468285942317,2.9573529411764703,68
