event,model,success_mode,p05_cost_threshold,p95_cost_threshold,success_threshold_used,best_cost,best_strike_deg,bin_index,theta_start_deg,theta_end_deg,theta_center_deg,n_total_in_bin,n_success_in_bin,p_success_given_bin,occupancy_fraction,has_gray_background,has_green_probability_bar,has_black_best_outline,color_fill,classification
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,0,0.0,5.0,2.5,6,0,0.0,0.012,True,False,False,gray,tested_bin_no_success
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,1,5.0,10.0,7.5,7,0,0.0,0.014,True,False,False,gray,tested_bin_no_success
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,2,10.0,15.0,12.5,3,0,0.0,0.006,True,False,False,gray,tested_bin_no_success
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,3,15.0,20.0,17.5,14,1,0.07142857142857142,0.028,True,True,False,green,success_probability_bin
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,4,20.0,25.0,22.5,5,0,0.0,0.01,True,False,False,gray,tested_bin_no_success
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,5,25.0,30.0,27.5,4,0,0.0,0.008,True,False,False,gray,tested_bin_no_success
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,6,30.0,35.0,32.5,11,2,0.18181818181818182,0.022,True,True,False,green,success_probability_bin
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,7,35.0,40.0,37.5,8,0,0.0,0.016,True,False,False,gray,tested_bin_no_success
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,8,40.0,45.0,42.5,2,0,0.0,0.004,True,False,False,gray,tested_bin_no_success
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,9,45.0,50.0,47.5,5,0,0.0,0.01,True,False,False,gray,tested_bin_no_success
S0185a,TAYAK,p05,0.1460489485099306,0.32353151000975977,0.1460489485099306,0.0824626130746303,185.953056641419,10,50.0,55.0,52.5,4,1,0.25,0.008,True,True,False,green,success_probability_bin
