model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
CD_model70,/home/lyara/areswave/models_short/CD_model70.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.3714526520099052,0.46512538291053335,0.43390113927699064,0.6285473479900949,0.5348746170894667,5
CD_model20,/home/lyara/areswave/models_short/CD_model20.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.2742713195967763,0.5146651394451324,0.434533866162347,0.7257286804032237,0.4853348605548676,5
Geophysical_model50,/home/lyara/areswave/models_short/Geophysical_model50.nd,nd,UNK,,,982.805,60.0,860.982,195.08799999999997,982.805,60.0,1115.292,16.56100000000015,1677.564,60.0,0.4319137164949011,0.44665886980483227,0.4417438187015219,0.5680862835050989,0.5533411301951677,5
CD_model50,/home/lyara/areswave/models_short/CD_model50.npz,npz,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.345923009450355,0.5074312640462747,0.4535951791809681,0.6540769905496451,0.4925687359537253,5
CD_model90,/home/lyara/areswave/models_short/CD_model90.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.36192622791222206,0.5216167621105828,0.4683865840444626,0.6380737720877778,0.47838323788941717,5
CD_model100,/home/lyara/areswave/models_short/CD_model100.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.29944618510801124,0.5545155712533738,0.46949244253825295,0.7005538148919888,0.4454844287466263,5
Geophysical_model180,/home/lyara/areswave/models_short/Geophysical_model180.nd,nd,UNK,,,966.993,60.0,856.89,193.99599999999998,966.993,60.0,1117.726,33.496999999999844,1684.345,60.0,0.4545631108074556,0.4796503719124784,0.4712879515441375,0.5454368891925444,0.5203496280875216,5
Geophysical_model450,/home/lyara/areswave/models_short/Geophysical_model450.nd,nd,UNK,,,966.559,60.0,900.0,181.65099999999995,966.559,60.0,1116.317,16.638999999999896,1680.417,60.0,0.4151937947747001,0.499392948556287,0.47132656396242467,0.5848062052252999,0.500607051443713,5
MD_model50,/home/lyara/areswave/models_short/MD_model50.nd,nd,UNK,,,1043.775,60.0,704.13,186.25699999999995,1043.775,60.0,1295.769,186.25700000000006,1649.586,60.0,0.5260620791100794,0.44550853968515297,0.47235971949346184,0.4739379208899206,0.554491460314847,5
Geophysical_model350,/home/lyara/areswave/models_short/Geophysical_model350.nd,nd,UNK,,,999.844,60.0,878.82,190.61599999999999,999.844,60.0,1116.329,16.6400000000001,1680.452,60.0,0.39397111130628226,0.5151815573825222,0.4747780753571089,0.6060288886937177,0.4848184426174778,5
Geophysical_model910,/home/lyara/areswave/models_short/Geophysical_model910.nd,nd,UNK,,,950.007,60.0,900.0,179.014,950.007,60.0,1133.367,33.337999999999965,1681.481,60.0,0.5891457064001369,0.42987505523438785,0.48296527228963754,0.41085429359986325,0.5701249447656122,5
AK_model_60,/home/lyara/areswave/models_short/AK_model_60.nd,nd,UNK,,,997.761,60.0,820.36,25.34299999999996,997.761,60.0,1175.162,101.37199999999984,1686.32,60.0,0.3973828452298122,0.5354520608728403,0.4894289889918309,0.6026171547701876,0.4645479391271598,5
Geophysical_model650,/home/lyara/areswave/models_short/Geophysical_model650.nd,nd,UNK,,,916.714,60.0,876.024,191.80700000000002,916.714,60.0,1117.284,33.42800000000011,1683.113,60.0,0.42399991587274277,0.5240898175036304,0.4907265169600012,0.5760000841272573,0.4759101824963697,5
Geophysical_model30,/home/lyara/areswave/models_short/Geophysical_model30.nd,nd,UNK,,,966.367,60.0,900.0,189.356,966.367,60.0,1115.693,16.5920000000001,1678.681,60.0,0.47285492091994286,0.5042676786451394,0.4937967594034072,0.5271450790800571,0.4957323213548605,5
Geophysical_model830,/home/lyara/areswave/models_short/Geophysical_model830.nd,nd,UNK,,,966.709,60.0,875.782,193.74599999999998,966.709,60.0,1133.481,33.35500000000002,1681.776,60.0,0.48163701908590395,0.5009366392483121,0.49450343252750945,0.518362980914096,0.499063360751688,5
Geophysical_model310,/home/lyara/areswave/models_short/Geophysical_model310.nd,nd,UNK,,,1016.326,60.0,878.266,195.60199999999998,1016.326,60.0,1132.652,33.235999999999876,1679.631,60.0,0.41654771428448034,0.5346728758817332,0.49529782201598227,0.5834522857155197,0.46532712411826677,5
CD_model80,/home/lyara/areswave/models_short/CD_model80.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.3425780773590247,0.5722361129335611,0.4956834344087156,0.6574219226409753,0.4277638870664389,5
CD_model40,/home/lyara/areswave/models_short/CD_model40.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.2553717440426295,0.6189305690809574,0.4977442940681815,0.7446282559573705,0.38106943091904266,5
CD_model1,/home/lyara/areswave/models_short/CD_model1.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.3939006385563585,0.5523661966187323,0.49954434393127434,0.6060993614436416,0.44763380338126774,5
Geophysical_model10,/home/lyara/areswave/models_short/Geophysical_model10.nd,nd,UNK,,,983.111,60.0,878.833,190.50300000000004,983.111,60.0,1116.088,16.62200000000007,1679.781,60.0,0.4132698935098708,0.544424690163685,0.5007064246124137,0.5867301064901291,0.455575309836315,5
CD_model60,/home/lyara/areswave/models_short/CD_model60.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.3103482262611568,0.5967233854415186,0.5012649990480647,0.6896517737388431,0.4032766145584814,5
Geophysical_model930,/home/lyara/areswave/models_short/Geophysical_model930.nd,nd,UNK,,,1085.282,60.0,900.0,29.508000000000038,1085.282,60.0,1102.126,16.84400000000005,1687.809,60.0,0.48335130249337643,0.5187942499583833,0.5069799341367144,0.5166486975066236,0.48120575004161675,5
Geophysical_model950,/home/lyara/areswave/models_short/Geophysical_model950.nd,nd,UNK,,,950.057,60.0,900.0,199.649,950.057,60.0,1133.601,33.371000000000095,1682.084,60.0,0.4990426698083176,0.5151291988435187,0.5097670224984516,0.5009573301916824,0.48487080115648123,5
