model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
CD_model31,/home/lyara/areswave/models/CD_model31.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.079858416,0.225558042,0.1769915,0.920141584,0.774441958,1
Geophysical_model979,/home/lyara/areswave/models/Geophysical_model979.nd,nd,UNK,,,916.648,60,877.439,180.489,916.648,60,1116.419,16.648,1482.668,99.885,1680.704,60,0.501908069,0.145749482,0.264469011,0.498091931,0.854250518,1
Geophysical_model999,/home/lyara/areswave/models/Geophysical_model999.nd,nd,UNK,,,1086.489,60,900,21.299,1086.489,60,1103.443,16.953,1459.467,118.675,1691.782,60,0.40752029,0.201171232,0.269954251,0.59247971,0.798828768,1
Geophysical_model631,/home/lyara/areswave/models/Geophysical_model631.nd,nd,UNK,,,933.855,60,900,186.076,933.855,60,1120.056,33.855,1492.459,84.637,1690.835,60,0.483943824,0.175768662,0.278493716,0.516056176,0.824231338,1
Geophysical_model935,/home/lyara/areswave/models/Geophysical_model935.nd,nd,UNK,,,933.4,60,876.829,185.365,933.4,60,1117.102,33.4,1484.505,83.501,1682.605,60,0.428184909,0.204143202,0.278823771,0.571815091,0.795856798,1
Geophysical_model764,/home/lyara/areswave/models/Geophysical_model764.nd,nd,UNK,,,933.862,60,900,186.67,933.862,60,1120.105,33.862,1492.59,84.656,1690.97,60,0.359652109,0.241563339,0.280926262,0.640347891,0.758436661,1
Geophysical_model126,/home/lyara/areswave/models/Geophysical_model126.nd,nd,UNK,,,966.298,60,878.977,189.208,966.298,60,1115.469,16.574,1463.533,116.022,1678.056,60,0.351197963,0.247190863,0.281859897,0.648802037,0.752809137,1
Geophysical_model158,/home/lyara/areswave/models/Geophysical_model158.nd,nd,UNK,,,1017.887,60,900,186.665,1017.887,60,1135.775,16.841,1489.437,84.206,1687.708,60,0.497970116,0.18700559,0.290660432,0.502029884,0.81299441,1
Geophysical_model251,/home/lyara/areswave/models/Geophysical_model251.nd,nd,UNK,,,967.872,60,900,180.241,967.872,60,1120.585,33.937,1459.948,101.809,1692.31,60,0.333619618,0.272031649,0.292560972,0.666380382,0.727968351,1
Geophysical_model426,/home/lyara/areswave/models/Geophysical_model426.nd,nd,UNK,,,967.872,60,900,180.241,967.872,60,1120.585,33.937,1459.948,101.809,1692.31,60,0.333619618,0.272031649,0.292560972,0.666380382,0.727968351,1
Geophysical_model227,/home/lyara/areswave/models/Geophysical_model227.nd,nd,UNK,,,967.56,60,879.511,184.397,967.56,60,1119.571,33.78,1457.372,101.34,1689.483,60,0.283413536,0.299384299,0.294060711,0.716586464,0.700615701,1
Geophysical_model556,/home/lyara/areswave/models/Geophysical_model556.nd,nd,UNK,,,900,60,900,179.901,900,60,1119.137,33.714,1473.128,101.141,1688.275,60,0.336190703,0.27696864,0.296709328,0.663809297,0.72303136,1
Geophysical_model666,/home/lyara/areswave/models/Geophysical_model666.nd,nd,UNK,,,900,60,900,179.901,900,60,1119.137,33.714,1473.128,101.141,1688.275,60,0.336190703,0.27696864,0.296709328,0.663809297,0.72303136,1
Geophysical_model875,/home/lyara/areswave/models/Geophysical_model875.nd,nd,UNK,,,933.693,60,900,181.546,933.693,60,1119.005,33.693,1455.935,84.233,1687.906,60,0.373258671,0.260187465,0.297877867,0.626741329,0.739812535,1
Geophysical_model366,/home/lyara/areswave/models/Geophysical_model366.nd,nd,UNK,,,949.973,60,900,193.913,949.973,60,1116.548,16.657,1449.698,99.945,1681.061,60,0.377687217,0.265253407,0.302731344,0.622312783,0.734746593,1
MD_model94,/home/lyara/areswave/models/MD_model94.nd,nd,UNK,,,1025.295,60,867.383,10.528,1025.295,60,1288.482,157.913,1351.647,168.44,1600.766,60,0.276583725,0.316041127,0.302888659,0.723416275,0.683958873,1
