model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
CD_model68,/home/lyara/areswave/models/CD_model68.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.144477215,0.304096899,0.250890338,0.855522785,0.695903101,1
AK_model_95,/home/lyara/areswave/models/AK_model_95.nd,nd,UNK,,,1073.564,60,774.981,27.144,1073.564,60,1190.715,27.144,1345.002,54.288,1717.883,60,0.301898133,0.258903774,0.273235227,0.698101867,0.741096226,1
CD_model23,/home/lyara/areswave/models/CD_model23.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.170488714,0.332240648,0.278323336,0.829511286,0.667759352,1
Geophysical_model50,/home/lyara/areswave/models/Geophysical_model50.nd,nd,UNK,,,982.805,60,860.982,195.088,982.805,60,1115.292,16.561,1463.072,99.365,1677.564,60,0.448277738,0.204521183,0.285773368,0.551722262,0.795478817,1
MD_model16,/home/lyara/areswave/models/MD_model16.nd,nd,UNK,,,999.038,60,820.271,10.516,999.038,60,1146.258,94.641,1346.056,189.283,1605.327,60,0.296603485,0.289857246,0.292105992,0.703396515,0.710142754,1
CD_model1,/home/lyara/areswave/models/CD_model1.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.170635155,0.381239601,0.311038119,0.829364845,0.618760399,1
CD_model64,/home/lyara/areswave/models/CD_model64.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.170635155,0.381239601,0.311038119,0.829364845,0.618760399,1
Geophysical_model385,/home/lyara/areswave/models/Geophysical_model385.nd,nd,UNK,,,999.801,60,900,191.803,999.801,60,1116.236,16.633,1498.807,99.801,1680.192,60,0.302609806,0.315405578,0.31114032,0.697390194,0.684594422,1
AK_model_97,/home/lyara/areswave/models/AK_model_97.nd,nd,UNK,,,1076.276,60,775.803,27.315,1076.276,60,1294.802,54.632,1322.117,27.316,1723.434,60,0.280117858,0.335902875,0.317307869,0.719882142,0.664097125,1
Geophysical_model521,/home/lyara/areswave/models/Geophysical_model521.nd,nd,UNK,,,966.806,60,900,176.748,966.806,60,1133.823,33.403,1484.557,66.807,1682.659,60,0.260377777,0.346982357,0.318114164,0.739622223,0.653017643,1
Geophysical_model717,/home/lyara/areswave/models/Geophysical_model717.nd,nd,UNK,,,916.648,60,877.434,180.527,916.648,60,1116.419,16.648,1499.315,99.885,1680.704,60,0.349976107,0.305366304,0.320236238,0.650023893,0.694633696,1
Geophysical_model388,/home/lyara/areswave/models/Geophysical_model388.nd,nd,UNK,,,950.857,60,900,180.539,950.857,60,1120.38,33.904,1459.426,101.713,1691.737,60,0.213903164,0.378604008,0.323703726,0.786096836,0.621395992,1
Geophysical_model135,/home/lyara/areswave/models/Geophysical_model135.nd,nd,UNK,,,1048.611,60,900,193.514,1048.611,60,1147.685,33.024,1494.444,66.049,1675.804,60,0.45652272,0.269789045,0.332033604,0.54347728,0.730210955,1
Geophysical_model595,/home/lyara/areswave/models/Geophysical_model595.nd,nd,UNK,,,933.533,60,900,190.855,933.533,60,1117.965,33.533,1486.828,83.833,1685.009,60,0.365401908,0.318350111,0.334034043,0.634598092,0.681649889,1
Geophysical_model714,/home/lyara/areswave/models/Geophysical_model714.nd,nd,UNK,,,900,60,900,21.451,900,60,1116.78,33.351,1483.638,100.052,1681.708,60,0.326632049,0.340149698,0.335643815,0.673367951,0.659850302,1
Geophysical_model702,/home/lyara/areswave/models/Geophysical_model702.nd,nd,UNK,,,916.728,60,900,193.447,916.728,60,1117.459,33.456,1485.467,83.638,1683.6,60,0.462791292,0.2781259,0.33968103,0.537208708,0.7218741,1
Geophysical_model118,/home/lyara/areswave/models/Geophysical_model118.nd,nd,UNK,,,965.822,60,859.686,181.412,965.822,60,1113.92,16.456,1459.484,115.187,1673.742,60,0.326575081,0.348220757,0.341005532,0.673424919,0.651779243,1
Geophysical_model503,/home/lyara/areswave/models/Geophysical_model503.nd,nd,UNK,,,950.526,60,900,173.241,950.526,60,1135.789,33.684,1489.473,67.369,1687.745,60,0.29206492,0.366077808,0.341406845,0.70793508,0.633922192,1
Geophysical_model886,/home/lyara/areswave/models/Geophysical_model886.nd,nd,UNK,,,950.526,60,900,173.241,950.526,60,1135.789,33.684,1489.473,67.369,1687.745,60,0.29206492,0.366077808,0.341406845,0.70793508,0.633922192,1
Geophysical_model758,/home/lyara/areswave/models/Geophysical_model758.nd,nd,UNK,,,950.526,60,900,173.241,950.526,60,1135.789,33.684,1489.473,67.369,1687.745,60,0.29206492,0.366077808,0.341406845,0.70793508,0.633922192,1
Geophysical_model911,/home/lyara/areswave/models/Geophysical_model911.nd,nd,UNK,,,933.365,60,900,186.46,933.365,60,1116.871,33.365,1483.885,83.412,1681.963,60,0.383255965,0.323120619,0.343165734,0.616744035,0.676879381,1
Geophysical_model527,/home/lyara/areswave/models/Geophysical_model527.nd,nd,UNK,,,966.867,60,900,178.185,966.867,60,1134.035,33.434,1485.088,66.867,1683.208,60,0.311594602,0.359963572,0.343840582,0.688405398,0.640036428,1
Geophysical_model252,/home/lyara/areswave/models/Geophysical_model252.nd,nd,UNK,,,950.33,60,900,194.291,950.33,60,1118.099,33.553,1453.635,117.438,1685.382,60,0.286650978,0.378134819,0.347640205,0.713349022,0.621865181,1
Geophysical_model958,/home/lyara/areswave/models/Geophysical_model958.nd,nd,UNK,,,900,60,900,188.84,900,60,1116,16.615,1498.154,99.692,1679.536,60,0.388527722,0.329351924,0.34907719,0.611472278,0.670648076,1
Geophysical_model851,/home/lyara/areswave/models/Geophysical_model851.nd,nd,UNK,,,916.576,60,877.831,199.521,916.576,60,1115.491,16.576,1496.743,99.457,1678.117,60,0.455543039,0.297267477,0.350025998,0.544456961,0.702732523,1
Geophysical_model553,/home/lyara/areswave/models/Geophysical_model553.nd,nd,UNK,,,900,60,900,178.562,900,60,1118.724,33.65,1472.049,100.949,1687.125,60,0.30787659,0.372392178,0.350886982,0.69212341,0.627607822,1
Geophysical_model924,/home/lyara/areswave/models/Geophysical_model924.nd,nd,UNK,,,966.648,60,900,192.323,966.648,60,1133.268,33.324,1483.17,83.31,1681.223,60,0.300373607,0.379172305,0.352906073,0.699626393,0.620827695,1
Geophysical_model818,/home/lyara/areswave/models/Geophysical_model818.nd,nd,UNK,,,966.709,60,900,193.666,966.709,60,1133.481,33.355,1483.703,66.709,1681.776,60,0.307491024,0.375962137,0.353138432,0.692508976,0.624037863,1
Geophysical_model167,/home/lyara/areswave/models/Geophysical_model167.nd,nd,UNK,,,984.407,60,861.42,192.901,984.407,60,1119.457,33.763,1490.847,101.288,1689.167,60,0.478056173,0.29093923,0.353311544,0.521943827,0.70906077,1
AK_model_94,/home/lyara/areswave/models/AK_model_94.nd,nd,UNK,,,1080.51,60,778.064,27.495,1080.51,60,1272.975,27.495,1327.965,54.99,1730.529,60,0.223127669,0.420689465,0.354835533,0.776872331,0.579310535,1
MD_model76,/home/lyara/areswave/models/MD_model76.nd,nd,UNK,,,989.415,60,740.538,10.37,989.415,60,1124.223,176.288,1310.88,114.069,1578.639,60,0.265055804,0.400350959,0.355252574,0.734944196,0.599649041,1
Geophysical_model134,/home/lyara/areswave/models/Geophysical_model134.nd,nd,UNK,,,982.649,60,876.764,185.889,982.649,60,1114.887,16.53,1462.012,115.708,1676.435,60,0.529170897,0.268388514,0.355315975,0.470829103,0.731611486,1
Geophysical_model920,/home/lyara/areswave/models/Geophysical_model920.nd,nd,UNK,,,949.962,60,900,178.868,949.962,60,1133.157,33.308,1499.547,83.27,1680.937,60,0.38995267,0.339645633,0.356414645,0.61004733,0.660354367,1
Geophysical_model652,/home/lyara/areswave/models/Geophysical_model652.nd,nd,UNK,,,900,60,900,180.042,900,60,1101.507,33.585,1470.937,100.753,1685.941,60,0.31814323,0.375755078,0.356551129,0.68185677,0.624244922,1
MD_model86,/home/lyara/areswave/models/MD_model86.nd,nd,UNK,,,1096.037,60,822.973,196.606,1096.037,60,1128.805,10.923,1358.179,98.303,1635.11,60,0.512663626,0.279175347,0.357004773,0.487336374,0.720824653,1
CD_model65,/home/lyara/areswave/models/CD_model65.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.286845451,0.394183438,0.358404109,0.713154549,0.605816562,1
CD_model40,/home/lyara/areswave/models/CD_model40.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.153896045,0.461254311,0.358801556,0.846103955,0.538745689,1
AK_model_51,/home/lyara/areswave/models/AK_model_51.nd,nd,UNK,,,1018.843,60,822.06,24.597,1018.843,60,1289.418,122.989,1486.2,172.184,1667.832,60,0.252562948,0.41415577,0.360291496,0.747437052,0.58584423,1
Geophysical_model238,/home/lyara/areswave/models/Geophysical_model238.nd,nd,UNK,,,983.209,60,877.982,198.163,983.209,60,1116.342,16.642,1465.818,116.492,1680.489,60,0.410855457,0.335729783,0.360771674,0.589144543,0.664270217,1
CD_model55,/home/lyara/areswave/models/CD_model55.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.266842131,0.407793451,0.360809678,0.733157869,0.592206549,1
Geophysical_model988,/home/lyara/areswave/models/Geophysical_model988.nd,nd,UNK,,,950.085,60,900,182.547,950.085,60,1133.728,33.39,1484.32,66.779,1682.414,60,0.397571612,0.34490994,0.362463831,0.602428388,0.65509006,1
Geophysical_model533,/home/lyara/areswave/models/Geophysical_model533.nd,nd,UNK,,,900,60,877.931,198.623,900,60,1104.357,34.059,1496.041,102.179,1694.541,60,0.39954159,0.344929014,0.363133206,0.60045841,0.655070986,1
Geophysical_model917,/home/lyara/areswave/models/Geophysical_model917.nd,nd,UNK,,,900,60,877.931,198.623,900,60,1104.357,34.059,1496.041,102.179,1694.541,60,0.39954159,0.344929014,0.363133206,0.60045841,0.655070986,1
Geophysical_model200,/home/lyara/areswave/models/Geophysical_model200.nd,nd,UNK,,,933.606,60,900,183.887,933.606,60,1101.635,16.803,1437.694,117.621,1686.328,60,0.451328522,0.320065289,0.3638197,0.548671478,0.679934711,1
