model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
MD_model14,/home/lyara/areswave/models/MD_model14.nd,nd,UNK,,,1003.044,60.0,801.326,10.616999999999962,1003.044,60.0,1130.445,138.01800000000003,1321.547,191.10199999999986,1614.289,60.0,0.6177392804949529,0.18582118928482927,0.32979388635487045,0.3822607195050472,0.8141788107151707,1
CD_model27,/home/lyara/areswave/models/CD_model27.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.2735762627121878,0.47421781337958935,0.4073372964904555,0.7264237372878122,0.5257821866204107,1
MD_model66,/home/lyara/areswave/models/MD_model66.nd,nd,UNK,,,988.043,60.0,741.78,10.260999999999967,988.043,60.0,1131.696,30.7829999999999,1429.263,41.04300000000012,1581.866,60.0,0.6153998148790432,0.3181499862634599,0.41723326246865433,0.38460018512095684,0.6818500137365401,1
Gudkova,/home/lyara/areswave/models/Gudkova.nd,nd,UNK,,,819.32,60.0,819.32,307.727,819.32,60.0,1174.566,16.70399999999995,1443.681,39.91800000000012,1567.533,90.13499999999999,0.33431505703381714,0.486680012513957,0.43589169402057704,0.6656849429661829,0.513319987486043,1
CD_model38,/home/lyara/areswave/models/CD_model38.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.30535474567998155,0.5221821271048251,0.4499063332965439,0.6946452543200184,0.47781787289517486,1
MD_model79,/home/lyara/areswave/models/MD_model79.nd,nd,UNK,,,991.345,60.0,742.39,10.372999999999934,991.345,60.0,1126.195,10.373000000000047,1354.404,93.35799999999995,1580.668,60.0,0.8333911475106351,0.2597072729307953,0.4509352311240753,0.16660885248936483,0.7402927270692047,1
AK_model_14,/home/lyara/areswave/models/AK_model_14.nd,nd,UNK,,,1026.729,60.0,807.065,24.406999999999925,1026.729,60.0,1270.801,97.62900000000013,1319.615,24.406999999999925,1671.438,60.0,0.8036366611538261,0.29973121398933666,0.4676996963774998,0.19636333884617385,0.7002687860106633,1
MD_model10,/home/lyara/areswave/models/MD_model10.nd,nd,UNK,,,1002.201,60.0,801.147,10.581999999999994,1002.201,60.0,1245.582,137.56400000000008,1372.563,190.47199999999998,1611.713,60.0,0.8404596529295918,0.2943220110942084,0.47636789170600286,0.15954034707040823,0.7056779889057916,1
MD_model76,/home/lyara/areswave/models/MD_model76.nd,nd,UNK,,,989.415,60.0,740.538,10.370000000000005,989.415,60.0,1124.223,176.288,1310.88,114.06899999999996,1578.639,60.0,0.6381358409473985,0.40067575033302905,0.4798291138711522,0.36186415905260155,0.599324249666971,1
MD_model96,/home/lyara/areswave/models/MD_model96.nd,nd,UNK,,,901.131,60.0,890.515,180.45899999999995,901.131,60.0,1293.895,74.30700000000002,1315.126,31.846000000000004,1608.043,60.0,0.4428014013723639,0.5075998120744447,0.4860003418404178,0.5571985986276361,0.49240018792555534,1
CD_model90,/home/lyara/areswave/models/CD_model90.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.4896393448309675,0.4846873654458518,0.48633802524089037,0.5103606551690325,0.5153126345541482,1
CD_model86,/home/lyara/areswave/models/CD_model86.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.4896393448309675,0.4846873654458518,0.48633802524089037,0.5103606551690325,0.5153126345541482,1
CD_model5,/home/lyara/areswave/models/CD_model5.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,,60.0,0.409254138655036,0.5431979920740242,0.4985500409343615,0.590745861344964,0.45680200792597586,1
