model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1400_km,w_1400_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
CD_model29,/home/lyara/areswave/models/CD_model29.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.373286865,0.477136579,0.442520007,0.626713135,0.522863421,17
CD_model31,/home/lyara/areswave/models/CD_model31.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.348059505,0.518539638,0.461712927,0.651940495,0.481460362,17
CD_model11,/home/lyara/areswave/models/CD_model11.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.392572198,0.496604979,0.461927385,0.607427802,0.503395021,17
CD_model72,/home/lyara/areswave/models/CD_model72.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.330911125,0.544918066,0.473582419,0.669088875,0.455081934,17
CD_model38,/home/lyara/areswave/models/CD_model38.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.375174309,0.523028585,0.473743827,0.624825691,0.476971415,17
CD_model54,/home/lyara/areswave/models/CD_model54.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.385987845,0.518633279,0.474418134,0.614012155,0.481366721,17
CD_model35,/home/lyara/areswave/models/CD_model35.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.418324149,0.503046074,0.474805432,0.581675851,0.496953926,17
CD_model94,/home/lyara/areswave/models/CD_model94.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.371584311,0.527392401,0.475456371,0.628415689,0.472607599,17
CD_model60,/home/lyara/areswave/models/CD_model60.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.353523828,0.540043982,0.477870598,0.646476172,0.459956018,17
CD_model90,/home/lyara/areswave/models/CD_model90.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.382365524,0.52804335,0.479484074,0.617634476,0.47195665,17
CD_model86,/home/lyara/areswave/models/CD_model86.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.382365524,0.52804335,0.479484074,0.617634476,0.47195665,17
CD_model40,/home/lyara/areswave/models/CD_model40.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.367981045,0.535315581,0.479537402,0.632018955,0.464684419,17
CD_model58,/home/lyara/areswave/models/CD_model58.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.424237396,0.511440456,0.482372769,0.575762604,0.488559544,17
Geophysical_model298,/home/lyara/areswave/models/Geophysical_model298.nd,nd,UNK,,,950.621,60,900,193.215,950.621,60,1119.357,33.747,1439.955,118.116,1688.886,60,0.527956036,0.465151799,0.486086545,0.472043964,0.534848201,17
CD_model44,/home/lyara/areswave/models/CD_model44.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.378667458,0.540074864,0.486272395,0.621332542,0.459925136,17
CD_model100,/home/lyara/areswave/models/CD_model100.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.370578343,0.544629977,0.486612765,0.629421657,0.455370023,17
CD_model6,/home/lyara/areswave/models/CD_model6.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.360996847,0.550688468,0.487457928,0.639003153,0.449311532,17
CD_model84,/home/lyara/areswave/models/CD_model84.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.432112878,0.515199342,0.487503854,0.567887122,0.484800658,17
CD_model78,/home/lyara/areswave/models/CD_model78.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.457255963,0.502824494,0.487634984,0.542744037,0.497175506,17
CD_model1,/home/lyara/areswave/models/CD_model1.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.431230943,0.518393808,0.48933952,0.568769057,0.481606192,17
CD_model64,/home/lyara/areswave/models/CD_model64.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.431230943,0.518393808,0.48933952,0.568769057,0.481606192,17
CD_model27,/home/lyara/areswave/models/CD_model27.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.358593324,0.555733651,0.490020209,0.641406676,0.444266349,17
CD_model91,/home/lyara/areswave/models/CD_model91.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.391198718,0.540790003,0.490926242,0.608801282,0.459209997,17
CD_model26,/home/lyara/areswave/models/CD_model26.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.366556419,0.554030794,0.491539336,0.633443581,0.445969206,17
CD_model16,/home/lyara/areswave/models/CD_model16.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.351731755,0.561570057,0.491623956,0.648268245,0.438429943,17
CD_model48,/home/lyara/areswave/models/CD_model48.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.365079855,0.556612,0.492767952,0.634920145,0.443388,17
CD_model49,/home/lyara/areswave/models/CD_model49.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.365079855,0.556612,0.492767952,0.634920145,0.443388,17
CD_model42,/home/lyara/areswave/models/CD_model42.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.48602206,0.498049217,0.494040164,0.51397794,0.501950783,17
CD_model95,/home/lyara/areswave/models/CD_model95.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.365632062,0.559700412,0.495010962,0.634367938,0.440299588,17
CD_model68,/home/lyara/areswave/models/CD_model68.nd,nd,UNK,,,,60,,60,,60,,60,,60,,60,0.436820738,0.525915894,0.496217508,0.563179262,0.474084106,17
