model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
SANAK,/home/lyara/areswave/models_short/SANAK.nd,nd,UNK,,,755.2258,60.0,755.2258,503.48389999999984,755.2258,60.0,755.2258,1006.9678,1785.6487,23.455099999999902,0.392641870390213,0.5062994727366219,0.46841360528781895,0.607358129609787,0.4937005272633781,17
CD_model60,/home/lyara/areswave/models_short/CD_model60.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.3535238283634497,0.5400439823999676,0.47787059772112833,0.6464761716365502,0.4599560176000323,17
CD_model90,/home/lyara/areswave/models_short/CD_model90.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.38236552368159177,0.5280433498988627,0.4794840744931057,0.6176344763184084,0.47195665010113735,17
CD_model40,/home/lyara/areswave/models_short/CD_model40.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.36798104497523504,0.5353155810667566,0.4795374023695827,0.6320189550247648,0.46468441893324347,17
CD_model100,/home/lyara/areswave/models_short/CD_model100.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.3705783430949379,0.5446299766929057,0.48661276549358307,0.629421656905062,0.45537002330709425,17
CD_model1,/home/lyara/areswave/models_short/CD_model1.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.4312309433163626,0.5183938077222227,0.48933951958693594,0.5687690566836375,0.48160619227777735,17
CD_model50,/home/lyara/areswave/models_short/CD_model50.npz,npz,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.44681218361593494,0.5231109092214437,0.49767800068627405,0.553187816384065,0.47688909077855635,17
CD_model20,/home/lyara/areswave/models_short/CD_model20.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.4001977170570605,0.5515403012718127,0.5010927732002287,0.5998022829429396,0.4484596987281874,17
CD_model10,/home/lyara/areswave/models_short/CD_model10.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.43074133802519265,0.5364771491083596,0.501231878747304,0.5692586619748073,0.4635228508916404,17
Geophysical_model50,/home/lyara/areswave/models_short/Geophysical_model50.nd,nd,UNK,,,982.805,60.0,860.982,195.08799999999997,982.805,60.0,1115.292,16.56100000000015,1677.564,60.0,0.48577021487114347,0.5151171036279809,0.5053348073757018,0.5142297851288566,0.4848828963720191,17
CD_model70,/home/lyara/areswave/models_short/CD_model70.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.45748277274334925,0.5467785699587178,0.5170133042202616,0.5425172272566506,0.45322143004128224,17
Geophysical_model760,/home/lyara/areswave/models_short/Geophysical_model760.nd,nd,UNK,,,1050.167,60.0,900.0,21.375999999999976,1050.167,60.0,1100.223,33.371000000000095,1682.066,60.0,0.5179375945096235,0.520491459900069,0.5196401714365871,0.4820624054903765,0.4795085400999311,17
CD_model30,/home/lyara/areswave/models_short/CD_model30.nd,nd,UNK,,,,60.0,,60.0,,60.0,,60.0,,60.0,0.3847773849234411,0.5954376369752383,0.5252175529579726,0.6152226150765588,0.4045623630247618,17
Geophysical_model210,/home/lyara/areswave/models_short/Geophysical_model210.nd,nd,UNK,,,984.407,60.0,861.669,191.654,984.407,60.0,1119.457,33.76299999999992,1689.167,60.0,0.5233960160974539,0.5346690321402967,0.5309113601260158,0.4766039839025461,0.4653309678597033,17
Geophysical_model270,/home/lyara/areswave/models_short/Geophysical_model270.nd,nd,UNK,,,1001.288,60.0,880.467,195.33399999999995,1001.288,60.0,1119.457,33.76299999999992,1689.167,60.0,0.5535031237700823,0.5203681501870981,0.5314131413814261,0.4464968762299179,0.47963184981290174,17
Geophysical_model570,/home/lyara/areswave/models_short/Geophysical_model570.nd,nd,UNK,,,933.815,60.0,879.527,184.25300000000004,933.815,60.0,1119.798,33.81499999999983,1690.116,60.0,0.5790348218698185,0.5172828842499555,0.5378668634565765,0.4209651781301815,0.48271711575004456,17
Geophysical_model450,/home/lyara/areswave/models_short/Geophysical_model450.nd,nd,UNK,,,966.559,60.0,900.0,181.65099999999995,966.559,60.0,1116.317,16.638999999999896,1680.417,60.0,0.4769616852208307,0.5690786376988044,0.5383729868728132,0.5230383147791693,0.43092136230119543,17
